Jahr;Bundesland;Kennzahl;Wirtschaftszweig;Stoffgruppe;Verwendung;VerwendungCO2;Einfuhr;EinfuhrCO2;Ausfuhr;AusfuhrCO2
2023;Niedersachsen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Insgesamt;21,57;32,34;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);20,79;24,94;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;76,45;148,00;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;97,24;172,94;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);16,26;15,52;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Blends;1,20;3,06;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;17,46;18,58;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);2,37;2,89;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Blends;190,70;293,93;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;193,06;296,82;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-86;Gesundheitswesen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,19;1,42;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-86;Gesundheitswesen;Blends;0,93;1,57;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-86;Gesundheitswesen;Insgesamt;2,12;2,98;N/A;N/A;N/A;N/A
2023;Niedersachsen;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);530,84;64,10;N/A;N/A;469,90;1024,50
2023;Niedersachsen;;Insgesamt;Insgesamt;857,93;573,84;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-20;Herstellung von chemischen Erzeugnissen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);3,07;3,43;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-20;Herstellung von chemischen Erzeugnissen;Blends;1,86;3,27;N/A;N/A;N/A;N/A
